nombre_vsx,ra,dec,clase_variable
[LPM 2011] V21,0.501,67.41972,BCEP:
Gaia DR3 395724925018937216,0.50101,52.29027,ROT
ZTF J000200.26+622626.6,0.5011,62.44074,BY
Gaia DR3 2854983444483981568,0.50119,28.84769,E
ASASSN-V J000200.28-763315.3,0.5012,-76.55426,ACEPS
Gaia DR3 2772125828762541824,0.50146,15.35051,L
Gaia DR3 528418313282912000,0.50197,66.39681,L
Gaia DR3 384438438153135104,0.50201,42.62355,ROT
Gaia DR3 429935885725018240,0.50212,62.19976,ROT
Gaia DR3 4688622042478547328,0.50212,-73.83812,ROT
Gaia DR3 423321533007884800,0.50216,59.95676,ROT
Gaia DR3 2874163771995324416,0.50218,32.45494,ROT
Gaia DR3 2740348701473302912,0.50221,4.17084,ROT
Gaia DR3 395700181705676416,0.50229,52.14524,ROT
Gaia DR3 384325566412419200,0.50242,42.03108,ROT
Gaia DR3 2848424410947586944,0.50248,23.82673,ROT
ZTF J000200.60+480049.8,0.50254,48.01383,BY
Gaia DR3 4683767561203057280,0.50263,-77.86906,L
Gaia DR3 393897330535950464,0.50269,50.02748,ROT
Gaia DR3 395557107753447680,0.50278,51.24511,E
Gaia DR3 420494963489319808,0.50292,55.37114,ROT
Gaia DR3 2875145769022908288,0.50313,33.82698,ROT
Gaia DR3 393870392500448640,0.50315,49.7797,ROT
Gaia DR3 393906092269169280,0.50316,50.20439,ROT
Gaia DR3 422625920103060608,0.50322,57.80713,RS
ASASSN-V J000200.78+480045.5,0.50325,48.01264,BY+UV
PS1-3PI J000200.79+165414.9,0.50331,16.90412,RRAB
Gaia DR3 2861266397522454528,0.5035,29.80701,ROT
Gaia DR3 2335013744189424256,0.50366,-25.46254,ROT
Gaia DR3 393472884685604224,0.50375,49.12643,RS
Gaia DR3 4972264573221911040,0.50383,-53.32892,ROT
ZTF J000200.95+634619.5,0.50397,63.7721,SR
Gaia DR3 420320656534712960,0.50409,54.26889,DSCT|GDOR|SXPHE
Gaia DR3 432152393783539840,0.50419,64.81256,L
Gaia DR3 385027295349326464,0.50448,44.34115,DSCT|GDOR|SXPHE
Gaia DR3 423329779345036672,0.5045,60.10556,YSO
Gaia DR3 393341080725314176,0.50478,48.56962,ROT
Gaia DR3 429349085809159552,0.50486,60.64371,ROT
Gaia DR3 421024958148813056,0.5049,56.63152,ROT
Gaia DR3 394011714104786688,0.50494,50.59821,ROT
NSV 14808,0.505,61.87833,
Gaia DR3 2875199511948875264,0.50507,34.05553,ROT
Gaia DR3 2739164669185470080,0.5051,2.78916,ROT
Gaia DR3 387106089585113088,0.50539,46.49713,ROT
SDSS J000201.31-104704.1,0.50546,-10.78447,RRAB
Gaia DR3 2422637807240549248,0.50555,-10.6275,RS
Gaia DR3 2740352240526250240,0.5056,4.30958,E
Gaia DR3 4629776528054349952,0.50569,-83.59285,DSCT|GDOR|SXPHE
ZTF J000201.36+645936.9,0.5057,64.9936,EW
Gaia DR3 422733637882081152,0.50582,58.26362,ROT
Gaia DR3 420890237918822784,0.50597,55.89095,ROT
Gaia DR3 2880976895797061888,0.50602,38.60192,ROT
Gaia DR3 421080693948689792,0.50626,57.20699,VAR
ASASSN-V J000201.51+635611.6,0.50628,63.93656,L
Gaia DR3 4972353461865133184,0.5063,-52.7282,ROT
Gaia DR3 2880103883565216768,0.5064,36.52511,S
Gaia DR3 429912211864030720,0.50657,62.13992,DSCT|GDOR|SXPHE
Gaia DR3 429346753649840256,0.50663,60.51412,RS
Gaia DR3 395733136996364416,0.50665,52.41904,ROT
Gaia DR3 4972286627876673920,0.50666,-53.02435,ROT
ZTF J000201.60+554741.0,0.50667,55.79473,BY
Gaia DR3 421033719882680320,0.50694,56.80866,VAR
EM Tuc,0.50696,-66.88858,EW
Gaia DR3 386680926477517184,0.50702,45.52218,ROT
Gaia DR3 393331425638878848,0.50703,48.35746,ROT
Gaia DR3 4976558372287689472,0.50713,-50.54191,DSCT|GDOR|SXPHE
NSVS J0002009+681055,0.50726,68.18124,SR
Gaia DR3 538132468452359040,0.50732,74.59038,ROT
Gaia DR3 431627518726947712,0.50739,63.84805,RS
Gaia DR3 2307752040573393664,0.50744,-37.31771,ROT
Gaia DR3 429374786889095936,0.50747,60.76007,S
Gaia DR3 4918307551915950592,0.50763,-58.82842,ROT
Gaia DR3 2846546685605115264,0.50795,21.12711,RS
Gaia DR3 4702956581729640320,0.50799,-70.40325,ROT
ZTF J000201.92+511015.2,0.50803,51.17091,EW
Gaia DR3 384428920505648768,0.50807,42.33018,VAR
Gaia DR3 4689731831963597696,0.50807,-72.53989,RRC
Gaia DR3 2306311229368436352,0.50813,-39.48871,DSCT|GDOR|SXPHE
Gaia DR3 420892299495245568,0.50814,55.96787,E
Gaia DR3 429480894069202432,0.50815,61.1781,ROT
PS1-3PI J000201.98+704320.1,0.50816,70.72225,RRAB
Gaia DR3 430088163782018560,0.50838,63.29037,S
Gaia DR3 386680922183072256,0.50842,45.52292,ROT
ZTF J000202.05+753719.5,0.50855,75.62209,EB
Gaia DR3 429487628579787776,0.50859,61.30139,S
Gaia DR3 422592900393562624,0.50873,57.50591,RS
Gaia DR3 4923926807952371840,0.50874,-54.33605,DSCT|GDOR|SXPHE
Gaia DR3 531242103960258688,0.50874,71.06128,ROT
Gaia DR3 387255485726757760,0.50877,47.45048,RS
Gaia DR3 431635627625102848,0.5089,63.9609,DSCT|GDOR|SXPHE
Gaia DR3 2846544039905235072,0.50904,21.07491,ROT
ZTF J000202.17+560242.7,0.50905,56.04521,HADS
Gaia DR3 2333092824360449920,0.50914,-28.52344,ROT
Gaia DR3 4702979950646915968,0.50917,-70.05433,ROT
Gaia DR3 420467956734056576,0.50926,55.12159,ROT
Gaia DR3 420916518815205888,0.50949,56.07201,ROT
ZTF J000202.28+633211.1,0.50953,63.53643,EW
Gaia DR3 393904030684894848,0.50973,50.12416,ROT
ZTF J000202.38+275320.2,0.50992,27.88897,EW
Gaia DR3 2874160503525182976,0.51008,32.38845,ROT
Gaia DR3 431741352536405888,0.5102,64.36897,ROT
Gaia DR3 4688265594554043008,0.51067,-75.05625,RRAB
Gaia DR3 430044015823429632,0.51073,62.68815,E
Gaia DR3 384231248930501632,0.5108,41.26194,ROT
Gaia DR3 384294535272120064,0.51091,41.77565,ROT
BU Psc,0.51091,-2.76617,GDOR
ZTF J000202.62+085628.5,0.51094,8.94127,SR
Gaia DR3 420470018318319488,0.51102,55.19986,S
Gaia DR3 420928166769705856,0.51125,56.42178,DSCT|GDOR|SXPHE
Gaia DR3 2313523961223000064,0.51141,-32.84315,ROT
ZTF J000202.75+533729.2,0.51147,53.62479,EW
Gaia DR3 2415781772421943680,0.51163,-16.01091,ROT
Gaia DR3 420461394024072064,0.51168,55.0441,ROT
Gaia DR3 431776502549488768,0.51169,64.73317,L
ZTF J000202.80+631851.9,0.5117,63.31442,EA
Gaia DR3 421022625990351616,0.51172,56.50106,ROT
Gaia DR3 2877080913782869760,0.51178,36.01548,ROT
Gaia DR3 395557112056794240,0.51179,51.24201,ROT
Gaia DR3 2415663471842816256,0.51193,-16.42391,ROT
Gaia DR3 396261108735823360,0.51205,53.58191,ROT
Gaia DR3 385038427904471808,0.51205,44.66539,ROT
Gaia DR3 429340122220406016,0.51217,60.41063,E
Gaia DR3 430078787879950336,0.51251,63.04192,RS
Gaia DR3 420468403410634624,0.51263,55.15979,DSCT|GDOR|SXPHE
ZTF J000203.03+624437.8,0.51265,62.74384,RS
Gaia DR3 2415882510879299968,0.51276,-15.50952,L
Gaia DR3 420365152396774272,0.51289,54.88348,DSCT|GDOR|SXPHE
V1407 Cas,0.51294,62.98318,SRB
Gaia DR3 2881021494737559936,0.51318,39.01526,RS
Gaia DR3 4905642586713363840,0.51319,-61.02494,ROT
Gaia DR3 423294457533501312,0.51322,59.6961,ROT
Gaia DR3 421060009386341632,0.51336,56.9872,ROT
Gaia DR3 2873521652908797440,0.51341,31.39643,ROT
ZTF J000203.23+672629.4,0.51346,67.4415,RS
ZTF J000203.23+581113.5,0.51348,58.1871,BY
Gaia DR3 4989999111661032448,0.51363,-47.81144,ROT
Gaia DR3 2861324912156984960,0.5137,30.48607,ROT
Gaia DR3 421022041874831360,0.51372,56.45146,ROT
SSS_J000203.3-262901,0.51379,-26.48353,RRAB
Gaia DR3 430085797260122112,0.51421,63.15534,S
ASASSN-V J000203.47-214746.3,0.51445,-21.79614,EB
Gaia DR3 565059744437577216,0.51455,80.40475,L
Gaia DR3 430078650441022208,0.51461,63.01488,ROT
Gaia DR3 423145542425725568,0.51478,58.81603,ROT
Gaia DR3 2875031527188163072,0.51497,33.48999,ROT
Gaia DR3 393306652267363200,0.51509,48.18788,E
Gaia DR3 393295687214735616,0.51515,47.90778,RS
Gaia DR3 2745008466111604096,0.51523,5.52115,ROT
Gaia DR3 429909325646145152,0.51524,61.96913,ROT
Gaia DR3 2449555299293890176,0.51525,-1.55252,ROT
Gaia DR3 421066022340531840,0.5154,57.02544,RS
Gaia DR3 2320834476597503232,0.5154,-30.17361,RS
Gaia DR3 394002883652105728,0.51556,50.41285,ROT
Gaia DR3 386584852352483328,0.51572,45.39956,S
Gaia DR3 393870392501743232,0.5158,49.76882,ROT
Gaia DR3 537990837612399360,0.51597,73.92088,S
ZTF J000203.86+560105.4,0.5161,56.01818,BY
NSVS J0002034+535901,0.51623,53.983,SR
Gaia DR3 422620010227784448,0.51627,57.77809,ROT
Gaia DR3 4977612529060473088,0.51629,-49.43842,ROT
Gaia DR3 393870495579662976,0.51633,49.78735,RS
ZTF J000203.94+612950.2,0.51644,61.4973,EB:
Gaia DR3 420327253604424320,0.5166,54.36327,DSCT|GDOR|SXPHE
ZTF J000203.99+672728.6,0.51664,67.45795,RS
Gaia DR3 423323216635047168,0.51666,60.01243,DSCT|GDOR|SXPHE
Gaia DR3 2312758013935264512,0.51667,-34.68439,ROT
CSS_J000204.0+285630,0.51687,28.94167,EW
Gaia DR3 431589516855454720,0.51689,63.31833,ROT
Gaia DR3 396146450288755840,0.51697,52.9802,E
Gaia DR3 4688265800712479488,0.51697,-75.0469,RRAB
Gaia DR3 538035024234541952,0.51718,74.33088,RS
Gaia DR3 528595854345659904,0.51744,67.55023,YSO
Gaia DR3 393482711570672128,0.51746,49.39145,ROT
Gaia DR3 430041438843179520,0.5175,62.57475,DSCT|GDOR|SXPHE
Gaia DR3 2320834476597504256,0.51757,-30.17622,RS
Gaia DR3 393341974078505344,0.5176,48.61268,ROT
Gaia DR3 537997602181506560,0.51761,74.03856,RS
Gaia DR3 430044050183167872,0.51762,62.68951,VAR
Gaia DR3 429945059774959616,0.51764,62.40343,E
Gaia DR3 421060146825285248,0.51774,57.00464,ROT
Gaia DR3 2309630453110071936,0.5179,-35.3276,ROT
ZTF J000204.29+682136.9,0.51791,68.36027,BY
Gaia DR3 528594205082447104,0.518,67.51272,YSO
Gaia DR3 395585768079226240,0.51805,51.55571,VAR
Gaia DR3 2739120035885299968,0.51805,2.46036,ROT
Gaia DR3 421057913442348416,0.51808,56.89655,ROT
ZTF J000204.34+602726.2,0.51809,60.45728,RS
Gaia DR3 394038171104091776,0.51813,50.80471,ROT
Gaia DR3 2881969033242436352,0.51813,40.34995,ROT
Gaia DR3 423156022145660928,0.51817,59.06827,S
Gaia DR3 431624701228499968,0.51829,63.70132,RS
Gaia DR3 2861281034769706880,0.51833,30.14338,ROT
Gaia DR3 429348364254241152,0.51858,60.55342,ROT
ZTF J000204.46+632918.4,0.51859,63.48847,EW
Gaia DR2 531373388222577536,0.51865,71.56237,RRAB
Gaia DR3 423330191661892224,0.51873,60.11834,ROT
Gaia DR3 429381938022844032,0.51878,60.89322,ROT
Gaia DR3 387147669163659136,0.51879,46.95402,RS
Gaia DR3 420362403617420288,0.51887,54.73374,ROT
Gaia DR3 528991644176278016,0.51896,68.10431,YSO
Gaia DR3 2746683713812189568,0.51896,7.82006,ROT
ZTF J000204.55+553803.4,0.51897,55.63428,BY
ZTF J000204.56+553053.2,0.51903,55.5148,BY
ZTF J000204.58+631003.7,0.5191,63.16771,RS
Gaia DR3 393859328664655232,0.5192,49.54454,ROT
Gaia DR3 420925972047527552,0.51921,56.32952,ROT
Gaia DR3 429478248369411072,0.51932,61.04647,VAR
ZTF J000204.64+543203.8,0.51934,54.53441,BY
Gaia DR3 2766135826854189184,0.51981,11.99689,ROT
Gaia DR3 422732121749764224,0.51985,58.2335,VAR
Gaia DR3 387103310741608704,0.51992,46.35029,E
Gaia DR3 2442904044219627904,0.51999,-5.79446,BE|GCAS|SDOR|WR
Gaia DR3 2428977423783522304,0.52003,-9.26058,ROT
Gaia DR3 385003587129860864,0.52008,44.31917,RS
Gaia DR3 429522091397631616,0.5201,61.59281,S
ZTF J000204.86+543146.1,0.52026,54.52948,EW
Gaia DR3 396122256730064384,0.52032,52.88585,S
Gaia DR3 422570188606456960,0.52041,57.22348,ROT
ZTF J000204.93+195908.4,0.52057,19.98568,BY
Gaia DR3 423329641906101888,0.52061,60.06868,DSCT|GDOR|SXPHE
Gaia DR3 530810751804992640,0.52078,70.09651,ROT
ZTF J000205.05+592333.5,0.52107,59.39264,SR
Gaia DR3 396157445405062912,0.52112,53.26783,ROT
ZTF J000205.09+602026.9,0.52123,60.34081,EW
Gaia DR3 422616329434294784,0.52134,57.88124,VAR
Gaia DR3 395735198580646784,0.52139,52.48733,S
Gaia DR3 2772890813977179136,0.52144,16.8856,DSCT|GDOR|SXPHE
Gaia DR3 423321356905531520,0.52152,59.9432,DSCT|GDOR|SXPHE
Gaia DR3 2861292820161297024,0.52154,30.17443,S
Gaia DR3 420884156245145472,0.52162,55.85104,ROT
Gaia DR3 420353637581047552,0.52178,54.5517,ROT
[LPM 2011] V26,0.52199,67.41538,WTTS/ROT
Gaia DR3 528593552247443968,0.52203,67.45055,YSO
Gaia DR3 2448172594702650752,0.52204,-3.12307,ROT
V0783 And,0.52204,38.22294,EW
Gaia DR3 423322976116890240,0.52221,59.97694,DSCT|GDOR|SXPHE
Gaia DR3 430050784691726336,0.52225,62.80752,DSCT|GDOR|SXPHE
Gaia DR3 2873342711687450752,0.52227,30.67706,ROT
Gaia DR3 422605888375417856,0.52232,57.64614,S
Gaia DR3 393295657151139072,0.52233,47.89299,ROT
Gaia DR3 4994577611221904128,0.52241,-44.14171,ROT
Gaia DR3 396113430579581952,0.52249,52.67663,ROT
ZTF J000205.41+631650.3,0.52255,63.28066,BY
Gaia DR3 431738981714510464,0.52257,64.2354,L
ZTF J000205.43+645130.6,0.52264,64.8585,RS
Gaia DR3 422766790725104384,0.52265,58.58112,DSCT|GDOR|SXPHE
ZTF J000205.43+693558.6,0.52266,69.59962,EW
Gaia DR3 420496539732848896,0.52274,55.40757,VAR
Gaia DR3 422614272151459072,0.5228,57.80812,ROT
Gaia DR3 2365821785121884544,0.52293,-19.73342,ROT
Gaia DR3 2765438839561260928,0.52305,10.9511,ROT
Gaia DR3 395595113927934080,0.52315,51.79509,ROT
ZTF J000205.55+625933.3,0.52315,62.9926,RS
[LPM 2011] V20,0.52329,67.45094,WTTS/ROT
ZTF J000205.59+622108.6,0.5233,62.3524,EA
Gaia DR3 432196378538720000,0.52331,65.36915,L
Gaia DR3 420329968024945536,0.52334,54.4964,S
Gaia DR3 423330122942414848,0.52351,60.12106,ROT
Gaia DR3 537469291143446784,0.52381,72.87911,E
Gaia DR3 430043637866333312,0.52391,62.66763,ROT
Gaia DR3 385027084893842048,0.52395,44.33882,VAR
Gaia DR3 4904776167254581248,0.52413,-62.07202,E
Gaia DR3 393867433260379136,0.52431,49.66824,ROT
Gaia DR3 4683815772212494720,0.52441,-77.79052,ROT
Gaia DR3 431730151261673472,0.52442,64.06502,S
Gaia DR3 422768994053595776,0.52444,58.68352,ROT
CSS_J000205.9+300606,0.52458,30.10169,EW
Gaia DR3 432190365594586880,0.52466,65.3357,ROT
Gaia DR3 2415840115257684736,0.52474,-15.75424,S
ZTF J000205.94+672415.6,0.52479,67.40436,RS
Gaia DR3 2873349308757234432,0.52483,30.84828,ROT
Gaia DR3 396263651356414080,0.52486,53.71426,ROT
Gaia DR3 4685156111246646016,0.52488,-75.90107,ROT
Gaia DR3 2765254465203708928,0.52493,10.08568,L
Gaia DR3 4684119512299664896,0.52519,-76.75302,E
Gaia DR3 538176483277047168,0.52525,75.15811,E
Gaia DR3 420927483876006016,0.52526,56.34826,ROT
Gaia DR3 4973396108125986176,0.52531,-51.61785,E
Gaia DR3 431765400047585152,0.52541,64.43773,S
Gaia DR3 421022041874837120,0.52547,56.44457,RS
ZTF J000206.13+574542.9,0.52556,57.76192,EW
ZTF18ablvazp,0.52563,49.43514,UG
Gaia DR3 2309581868439969408,0.52564,-35.78915,RS
Gaia DR3 2848130390370040064,0.52571,23.08808,VAR
Gaia DR3 2880983802104605312,0.52578,38.79968,ROT
Gaia DR3 431765404354168320,0.52599,64.43911,RS
Gaia DR3 387253222280107008,0.52624,47.35334,ROT
Gaia DR3 528992086553747968,0.52628,68.14027,YSO
Gaia DR3 2739164806624423424,0.52651,2.80036,ROT
Gaia DR3 2741933514341954816,0.52655,4.7829,ROT
Gaia DR3 393858641469898368,0.5267,49.47097,ROT
ZTF J000206.43+633946.6,0.5268,63.66297,EW
Gaia DR3 432161228535851904,0.52689,65.00078,VAR
Gaia DR3 2880982633873507456,0.52693,38.75379,ROT
ZTF J000206.46+583547.4,0.52693,58.59652,EA
ZTF J000206.46+582041.8,0.52695,58.34496,EW
Gaia DR3 396298285973880192,0.52704,54.0603,ROT
Gaia DR3 4683815772212494848,0.52707,-77.79157,ROT
ZTF J000206.53+621328.0,0.52725,62.22445,VAR
Gaia DR3 394009613857533312,0.52727,50.52207,ROT
Gaia DR3 432302099160150016,0.52733,65.77444,L
Gaia DR3 4702903809466760192,0.52739,-70.58364,ROT
Gaia DR3 394044115338818176,0.52745,50.83888,DSCT|GDOR|SXPHE
Gaia DR3 4905852524714648064,0.52746,-60.70293,ROT
Gaia DR3 2881907804188715392,0.52748,39.98744,ROT
Gaia DR3 2880096461861160704,0.52753,36.30934,ROT
ZTF J000206.62+714836.0,0.52761,71.81001,EW
Gaia DR3 430085414998443648,0.5277,63.14503,L
Gaia DR3 2738416829479687808,0.52777,1.29637,ROT
Gaia DR3 396146553367970048,0.52791,52.99396,ROT
Gaia DR3 2847138635177613952,0.52797,21.63849,ROT
Gaia DR3 385029975408878720,0.5286,44.5071,ROT
Gaia DR3 2846496550451311104,0.52865,20.68145,E
Gaia DR3 422570154246723072,0.52866,57.20676,DSCT|GDOR|SXPHE
Gaia DR3 2448179604089272192,0.52874,-2.93168,ROT
Gaia DR3 2861219084162724096,0.52897,29.77339,ROT
Gaia DR3 430087996291014016,0.5292,63.24905,S
Gaia DR3 396157544181041920,0.52939,53.28761,DSCT|GDOR|SXPHE
Gaia DR3 420927552595475456,0.52942,56.36481,E
Gaia DR3 2874228505742429952,0.52946,32.92181,ROT
Gaia DR3 2307796261556673664,0.52949,-36.9054,ROT
Gaia DR3 2873518324310019840,0.52957,31.34604,ROT
Gaia DR3 395698463719508608,0.52963,52.07755,ROT
Gaia DR3 2875249299209847680,0.52965,34.42185,ROT
Gaia DR3 2767119443084050560,0.52967,13.16117,DSCT|GDOR|SXPHE
ZTF J000207.12+560542.9,0.52968,56.09526,RS
Gaia DR3 4977688704600528256,0.52975,-48.90266,ROT
CSS_J000207.1+424819,0.52975,42.80536,EW
Gaia DR3 430050097497051520,0.52978,62.74352,S
Gaia DR3 394046417441257216,0.52982,50.95284,ROT
Gaia DR3 429480344313418880,0.53006,61.1285,DSCT|GDOR|SXPHE
Gaia DR3 528593513589842432,0.53024,67.43453,YSO
Gaia DR3 393330772803874432,0.53034,48.27834,RS
ZTF J000207.30+682326.1,0.53042,68.39059,BY
6dFGS g0002074-374917,0.53067,-37.82131,UGSU+E
Gaia DR3 528595751270662912,0.53076,67.5447,YSO
W Cet,0.53079,-14.67586,M
SSS_J000207.4-414914,0.53082,-41.82065,RRAB
UNSW-V 328,0.53083,-57.97008,EW|PULS:
Gaia DR3 423296583532371840,0.53085,59.78766,DSCT|GDOR|SXPHE
Gaia DR3 2746896705535433216,0.53103,8.54131,VAR
ZTF J000207.46+514630.1,0.53109,51.77504,EW
Gaia DR3 2340093316111201536,0.53113,-22.59964,ROT
ASASSN-V J000207.50+341429.1,0.53116,34.24149,ROT
Gaia DR3 429382036794255616,0.53131,60.90423,S
Gaia DR3 4977983408077356288,0.53137,-48.02494,ROT
Gaia DR3 2848008692473016832,0.53147,22.59252,ROT
Gaia DR3 2861272307397506816,0.53161,29.84046,DSCT|GDOR|SXPHE
Gaia DR3 384992385855234944,0.5319,43.98176,ROT
Gaia DR3 4635616652784676864,0.53193,-78.83168,RS
[LPM 2011] V24,0.53228,67.40089,WTTS/ROT
Gaia DR3 528604547363624576,0.53231,67.72209,YSO
Gaia DR3 430076588849944064,0.53241,62.93334,E
ZTF J000207.79+663539.5,0.53248,66.59433,EW
Gaia DR3 431592265634375808,0.53248,63.45366,ROT
Gaia DR3 528594067643508992,0.53248,67.47719,YSO
NSV 26201,0.5325,-43.15556,VAR:
Gaia DR3 2875212328131378176,0.53268,34.2827,ROT
Gaia DR3 386586334117697024,0.53283,45.45103,RS
ZTF J000207.89+655325.7,0.53288,65.89049,SR
Gaia DR3 2846501983585481728,0.53297,20.80959,ROT
Gaia DR3 385003514114264320,0.53299,44.30945,ROT
Gaia DR3 4919066592896158080,0.53322,-58.68166,ROT
Gaia DR3 2745806028654685312,0.53326,6.75137,ROT
Gaia DR3 386549500477704832,0.5333,45.00875,E
Gaia DR3 422570154246723840,0.53336,57.20472,ROT
Gaia DR3 429522125756527872,0.53351,61.60071,ROT
Gaia DR3 573633976627894528,0.53352,85.21948,ROT
Gaia DR3 420503587783401728,0.53365,55.53882,ROT
ASASSN-V J000208.09-332342.4,0.53369,-33.39511,ROT
Gaia DR3 2313066289507777664,0.53372,-33.57496,ROT
Gaia DR3 431774097367862784,0.53382,64.61042,ROT
Gaia DR3 420329109030252544,0.53382,54.43148,ROT
Gaia DR3 421021973155363328,0.534,56.44162,ROT
Gaia DR3 4617391594719222528,0.53409,-85.06397,ROT
Gaia DR3 2846742050782151296,0.53413,21.29977,L
Gaia DR3 430087446533900928,0.53414,63.20281,RS
ASASSN-V J000208.20+582522.6,0.53417,58.42295,EA
2MASS J00020821+6306335,0.53421,63.10933,EW
Gaia DR3 420916557479370240,0.53448,56.07488,ROT
Gaia DR3 2313572992569710976,0.53448,-32.38947,ROT
Gaia DR3 420461256585150848,0.53458,55.00599,ROT
Gaia DR3 387290090279212288,0.53463,47.79792,ROT
Gaia DR3 384440564160493440,0.53464,42.7078,ROT
Gaia DR3 387140659777076480,0.53469,46.82864,VAR
ZTF J000208.33+641235.8,0.53475,64.20997,EW:
Gaia DR3 2854769894414880128,0.53485,27.98643,ROT
Gaia DR3 393472158830368768,0.53508,49.12603,ROT
Gaia DR3 528593689687640192,0.53535,67.46868,YSO
Gaia DR3 423294423173548928,0.53543,59.70543,ROT
Gaia DR3 396298698290200704,0.53562,54.08206,ROT
ZTF J000208.57+601512.8,0.53572,60.25356,EW
Gaia DR3 4684097586490121728,0.53577,-77.02264,RRAB
ZTF J000208.60+534220.3,0.53586,53.70566,BY
Gaia DR3 429513329663339392,0.53607,61.41548,ROT
Gaia DR3 423294384508591616,0.53625,59.68938,E
Gaia DR3 2341535806647222528,0.53625,-20.68684,E
Gaia DR3 387141243892611328,0.5364,46.88355,ROT
Gaia DR3 2881907838548452352,0.53652,40.00635,ROT
Gaia23cws,0.53657,54.88715,BY+UV
Gaia DR3 386680754678826496,0.5366,45.51909,ROT
Gaia DR3 2333130349490541824,0.5368,-28.3427,RS
ASASSN-V J000208.84+781719.5,0.53684,78.28875,EB
WISE J000208.8+512944,0.53685,51.49581,EA
Gaia DR3 528559016412310016,0.53687,67.1236,YSO
Gaia DR3 564599534398055552,0.53698,79.14998,DSCT|GDOR|SXPHE
ZTF J000208.92+482705.7,0.5372,48.45159,EA
ZTF J000208.94+640827.3,0.53727,64.14094,EB:
Gaia DR3 386584100734716800,0.5373,45.33902,ROT
Gaia DR3 528569912747470464,0.53736,67.40211,YSO
Gaia DR3 2307752659048681856,0.53746,-37.27274,RS
[LPM 2011] V33,0.53746,67.40406,WTTS/ROT
Gaia DR3 430085969065160448,0.53752,63.1886,ROT
Gaia DR3 4977683481920264192,0.53754,-49.02644,E
Gaia DR3 2341528865980057344,0.5376,-20.87166,ACV|roAm|roAp|SXARI
Gaia DR3 2853301294772544000,0.53763,26.34695,ROT
Gaia DR3 395689671926720384,0.53774,51.88234,ROT
Gaia DR3 384466780641095168,0.53777,42.86112,L
Gaia DR3 528602863736467584,0.53796,67.67063,YSO
Gaia DR3 2415669038120435712,0.53804,-16.30428,ROT
Gaia DR3 537577593038236672,0.53824,73.39414,ROT
Gaia DR3 531410913354577920,0.53831,72.03704,RS
Gaia DR3 394043359424577664,0.53842,50.83214,ROT
Gaia DR3 2314559598097060352,0.53842,-30.91254,VAR
Gaia DR3 2428865204877987072,0.53848,-10.02506,ROT
Gaia DR3 2746898565255982848,0.53854,8.65627,ROT
Gaia DR3 2881027984432926976,0.53855,39.21327,ROT
Gaia DR3 429513978191827328,0.53855,61.47238,S
[LPM 2011] V32,0.53858,67.40721,WTTS/ROT
ASASSN-V J000209.26+602644.9,0.53859,60.44582,SR
Gaia DR3 395698463719521664,0.53861,52.08148,ROT
Gaia DR3 423136024778004864,0.53863,58.91568,ROT
Gaia DR3 528594097706959872,0.53864,67.49096,YSO
Gaia DR3 423144271115398784,0.53865,59.05674,ROT
Gaia DR3 4991409991238207744,0.53868,-45.36536,ROT
Gaia DR3 4994801675371500672,0.5387,-43.64749,RS
Gaia DR3 395547491330146560,0.53886,51.0287,ROT
Gaia16adt,0.53887,43.38925,UG:
Gaia DR3 394008686144545280,0.53898,50.4872,ROT
ZTF J000209.36+522030.2,0.53901,52.34173,EW
Gaia DR3 394036865434050816,0.53905,50.75503,ROT
Gaia DR3 2765683858855875968,0.53907,11.48733,ROT
Gaia DR3 393474362154326912,0.53909,49.21789,ROT
ASASSN-V J000209.42+605823.6,0.53924,60.97322,L
Gaia DR3 393472163131102848,0.53929,49.12256,ROT
WISE J000209.4+544745,0.53936,54.7961,EW|EA
Gaia DR3 528595751270664192,0.53938,67.54244,YSO
Gaia DR3 566713409924652416,0.53941,81.50992,E
Gaia DR3 423294423173555712,0.53949,59.69854,RS
Gaia DR3 528425773644668416,0.5395,66.51338,YSO
Gaia DR3 529157258110919168,0.53953,69.01544,L
WISE J000209.5+551511,0.5396,55.25324,EW
Gaia DR3 421068187003993344,0.53972,57.11348,RS
Gaia DR3 393333659021850368,0.53993,48.45423,DSCT|GDOR|SXPHE
Gaia DR3 423320944587546496,0.53998,59.91223,ROT
Gaia DR3 2853082801196263808,0.53999,25.40297,ROT
Gaia DR3 394010511513963648,0.54007,50.57168,ROT
Gaia DR3 431776846146864640,0.54018,64.75796,YSO
Gaia DR3 4973396176845519872,0.54034,-51.60555,ROT
ZTF J000209.68+562822.9,0.54036,56.47303,BY
Gaia DR3 2766080473315686272,0.54044,11.81295,ROT
Gaia DR3 2873763206165739264,0.54048,31.97234,ROT
Gaia DR3 539829976966882944,0.54074,76.2293,ROT
[LPM 2011] V30,0.54121,67.37103,BY
Gaia DR3 393481058003383680,0.54131,49.32838,S
Gaia DR3 528605097119420800,0.54148,67.76839,YSO
Gaia DR3 420459366799583872,0.54157,54.94405,ROT
Gaia DR3 2880280149023045760,0.54167,37.29145,ROT
2MASS J00021000+4748036,0.54167,47.801,EA
ZTF J000210.01+602742.1,0.54171,60.4617,SR
Gaia DR3 2745418863123734656,0.54211,6.70713,ROT
